id,id2,Census Tract,County,State,Median_income,Income Bracket,ENERGY BILL,ELEC BILL,GAS BILL,WATER BILL,energy burden,elec burden,gas bill,water bill,Total HH,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",HH_Living costs (month),HH_Living Costs (annual),Poverty Rate,Population_Greater_Mile,Food_Desert,Elderly Living Alone,Rent Burden,Eviction Rates,Eviction Filings,Eviction Filing Rates,Transportation Burden,Lack of Health Insurance,Tree Canopy Coverage,Vacant Houses
1400000US36029010202,36029010202,102.02,Erie,New York,22661,4.4,2593.028571,1070.651429,1522.377143,664.1866667,0.114426926,0.047246433,0.067180493,0.02930968,818,11,34,84,115,168,260,325,331,396,508,651,703,768,792,802,818,974,11688,15.8,Null,0,0.088658147,0.228,0.0033,10,0.0165,0.23,0.025,0.078985801,0.122249389
1400000US36029007101,36029007101,71.01,Erie,New York,17801,3.4,2793.473684,1550.447368,1243.026316,220.7401316,0.156927908,0.087098892,0.069829016,0.012400434,977,58,62,132,205,312,405,433,491,586,699,754,876,941,954,954,977,609,7308,45.6,Null,0,0.113184828,0.316,0.0042,116,0.0808,0.17,0,0.062154298,0.186284545
1400000US36029003600,36029003600,36,Erie,New York,16979,3.3,1756.367089,943.3670886,813,274.5189873,0.103443494,0.055560816,0.047882679,0.016168148,1183,89,139,257,305,389,447,498,547,611,677,786,1029,1126,1159,1183,1183,627,7524,43.1,Null,0,0.079393399,0.49,0.0088,89,0.1307,0.2,0.092,0.104899998,0.185967878
1400000US36029009900,36029009900,99,Erie,New York,27474,5.3,2498.136986,1433.260274,1064.876712,338.5342466,0.090927313,0.052167878,0.038759435,0.012321986,3115,135,225,391,451,496,584,626,697,728,1106,1397,1723,2264,2564,2899,3115,862,10344,12.7,Null,0,0.172905526,0.252,0.0083,7,0.0146,0.23,0.048,0.079200201,0.018619583
1400000US36029001900,36029001900,19,Erie,New York,25905,5.2,2014.769231,1024.769231,990,225.4594017,0.077775303,0.039558743,0.038216561,0.008703316,2379,44,215,281,372,532,667,762,848,992,1239,1373,1630,1838,1994,2121,2379,835,10020,9.2,Null,0,0.162909091,0.313,0.0037,48,0.0885,0.23,0.051,0.133360004,0.035729298
1400000US36029016300,36029016300,163,Erie,New York,16708,3.3,2172.304024,1051.081967,1121.222057,641.6065574,0.130015802,0.062908904,0.067106898,0.038401159,1547,34,64,135,221,277,415,477,590,628,658,922,1247,1398,1504,1547,1547,665,7980,30.6,Null,0,0.085629921,0.3726,0.0017,71,0.1187,0.21,0.061,0.086949301,0.098901099
1400000US36029006901,36029006901,69.01,Erie,New York,17695,3.4,2642.640777,1198.019417,1444.621359,695.1618123,0.149343926,0.067703838,0.081640088,0.039285776,2732,107,198,395,431,636,745,887,1031,1060,1181,1526,2050,2343,2398,2559,2732,664,7968,51.2,Null,0,0.026037429,0.4138,0.0131,120,0.1212,0.18,0.044,0.087390003,0.085651537
1400000US36029010002,36029010002,100.02,Erie,New York,28058,5.4,2549.992238,948.3415265,1601.650712,211.7115136,0.090882894,0.033799327,0.057083567,0.007545496,1173,76,101,174,230,265,351,403,441,482,586,737,881,1009,1091,1154,1173,978,11736,5.1,Null,0,Null,0.351,0,2,0.0046,0.23,0.006,Null,0.16112532
1400000US36029013002,36029013002,130.02,Erie,New York,33833,7.1,2535.234146,1347.995122,1187.239024,316.404878,0.074933767,0.039842613,0.035091154,0.00935196,1193,24,41,41,140,184,230,255,326,345,466,564,678,890,1009,1133,1193,1183,14196,10.9,Null,1,Null,0.315,0,0,0,0.25,0.023,Null,0.061190277
1400000US36029003500,36029003500,35,Erie,New York,21599,4.3,1960.615385,894.7384615,1065.876923,433.5153846,0.090773433,0.041424995,0.049348438,0.020071086,1311,46,135,231,300,341,368,430,468,556,644,827,1012,1156,1248,1300,1311,649,7788,41.2,Null,0,0.173443456,0.448,0.0129,427,0.4226,0.19,0.022,0.123148003,0.177726926
1400000US36029014000,36029014000,140,Erie,New York,30769,6.2,2204.912863,810.6224066,1394.290456,219.5186722,0.071660206,0.026345426,0.04531478,0.00713441,18,0,0,0,0,0,0,0,0,15,15,15,18,18,18,18,18,1319,15828,4.5,Null,1,Null,0.289,0.0027,2,0.0055,0.26,0.029,Null,
1400000US36029007303,36029007303,73.03,Erie,New York,39144,8.1,2444.147368,1200.168421,1243.978947,277.154386,0.062439898,0.030660342,0.031779556,0.00708038,782,122,197,242,337,382,433,475,490,535,593,636,707,745,752,769,782,1326,15912,8.5,Null,1,Null,0.246,0.0045,8,0.009,0.25,0.004,Null,0.071611253
1400000US36029003700,36029003700,37,Erie,New York,19712,4.1,1965.505618,753.7078652,1211.797753,885.4325843,0.099711121,0.038235992,0.06147513,0.044918455,768,189,300,447,485,522,535,564,615,618,639,660,741,768,768,768,768,768,9216,45.1,Null,0,0.045828437,0.348,0.0088,166,0.1825,0.21,0.133,0.107011004,0.3125
